HUC4CODE,HUC4NAME
16010102,Central Bear
16010201,Bear Lake
16010202,Middle Bear
16010203,Little Bear-Logan
16010204,Lower Bear-Malad
16020309,Curlew Valley
17010101,Middle Kootenai
17010104,Lower Kootenai
17010105,Moyie
17010213,Lower Clark Fork
17010214,Pend Oreille Lake
17010215,Priest
17010216,Pend Oreille
17010301,Upper Coeur d Alene
17010302,South Fork Coeur d Alene
17010303,Coeur d Alene Lake
17010304,St. Joe
17010305,Upper Spokane
17010306,Hangman
17040104,Palisades
17040105,Salt
17040201,Idaho Falls
17040202,Upper Henrys
17040203,Lower Henrys
17040204,Teton
17040205,Willow
17040206,American Falls
17040207,Blackfoot
17040208,Portneuf
17040209,Lake Walcott
17040210,Raft
17040211,Goose
17040212,Upper Snake-Rock
17040213,Salmon Falls
17040214,Beaver-Camas
17040215,Medicine Lodge
17040216,Birch
17040217,Little Lost
17040218,Big Lost
17040219,Big Wood
17040220,Camas
17040221,Little Wood
17050101,C. J. Strike Reservoir
17050102,Bruneau
17050103,Middle Snake-Succor
17050104,Upper Owyhee
17050105,South Fork Owyhee
17050106,East Little Owyhee
17050107,Middle Owyhee
17050108,Jordan
17050111,North and Middle Forks Boise
17050112,Boise-Mores
17050113,South Fork Boise
17050114,Lower Boise
17050115,Middle Snake-Payette
17050120,South Fork Payette
17050121,Middle Fork Payette
17050122,Payette
17050123,North Fork Payette
17050124,Weiser
17050201,Brownlee Reservoir
17060101,Hells Canyon
17060103,Lower Snake-Asotin
17060106,Lower Grande Ronde
17060108,Palouse
17060109,Rock
17060201,Upper Salmon
17060202,Pahsimeroi
17060203,Middle Salmon-Panther
17060204,Lemhi
17060205,Upper Middle Fork Salmon
17060206,Lower Middle Fork Salmon
17060207,Middle Salmon-Chamberlain
17060208,South Fork Salmon
17060209,Lower Salmon
17060210,Little Salmon
17060301,Upper Selway
17060302,Lower Selway
17060303,Lochsa
17060304,Middle Fork Clearwater
17060305,South Fork Clearwater
17060306,Clearwater
17060307,Upper North Fork Clearwater
17060308,Lower North Fork Clearwater
